avahi-utils	0.8-13ubuntu6.2	ii 
curl	8.5.0-2ubuntu10.11	ii 
git	1:2.43.0-1ubuntu7.3	ii 
jq	1.7.1-3ubuntu0.24.04.2	ii 
libsane-common	1.2.1-7build4	ii 
libsane1:amd64	1.2.1-7build4	ii 
netcat-openbsd	1.226-1ubuntu2	ii 
nmap	7.94+git20230807.3be01efb1+dfsg-3build2	ii 
python3	3.12.3-0ubuntu2.1	ii 
python3-pip	24.0+dfsg-1ubuntu1.3	ii 
python3-venv	3.12.3-0ubuntu2.1	ii 
ripgrep	14.1.0-1	ii 
sane-airscan	0.99.29-0ubuntu4	ii 
sane-utils	1.2.1-7build4	ii 
socat	1.8.0.0-4ubuntu0.1	ii 
tcpdump	4.99.4-3ubuntu4.24.04.1	ii 
tshark	4.2.2-1.1build3	ii 
unzip	6.0-28ubuntu4.1	ii 
wget	1.21.4-1ubuntu4.4	ii 
